년도,월,발생건수,사망자수,부상자수
2005,1,15494,504,25413
2005,2,13244,431,21635
2005,3,16580,477,25550
2005,4,17817,507,28131
2005,5,19085,571,29808
2005,6,18092,476,28594
2005,7,18675,528,29984
2005,8,19035,562,31603
2005,9,18759,577,29831
2005,10,19757,639,31597
2005,11,19129,574,30337
2005,12,18504,530,29750
2006,1,14971,420,24533
2006,2,14270,373,22903
2006,3,16767,465,26013
2006,4,17948,469,28725
2006,5,19140,531,30279
2006,6,17435,455,27032
2006,7,18634,516,29978
2006,8,18794,585,30882
2006,9,19293,580,30186
2006,10,19100,651,30715
2006,11,19877,701,31270
2006,12,17516,581,27713
2007,1,14914,468,23975
2007,2,14696,446,23717
2007,3,18166,476,28811
2007,4,18055,460,28555
2007,5,19264,516,30532
2007,6,18310,538,28662
2007,7,18037,503,28676
2007,8,17982,512,29711
2007,9,18506,532,29583
2007,10,19026,582,29802
2007,11,17815,565,27674
2007,12,16891,568,26208
2008,1,14741,444,23522
2008,2,14176,428,23282
2008,3,16752,502,26284
2008,4,17498,476,27364
2008,5,19515,493,30935
2008,6,18824,423,28872
2008,7,19562,452,30553
2008,8,18545,529,29705
2008,9,18023,502,27894
2008,10,19926,574,30882
2008,11,19597,528,30585
2008,12,18663,519,29084
2009,1,16532,475,27373
2009,2,15502,405,24429
2009,3,18224,468,27967
2009,4,19153,439,29521
2009,5,20237,519,31743
2009,6,19249,433,29084
2009,7,20281,454,31545
2009,8,19993,514,32200
2009,9,21004,500,31700
2009,10,21440,592,33255
2009,11,20156,522,31062
2009,12,20219,517,31996
2010,1,17124,438,27655
2010,2,15803,406,24968
2010,3,17801,396,27350
2010,4,18386,395,28191
2010,5,20372,447,31521
2010,6,18910,474,28311
2010,7,18965,453,29577
2010,8,19383,410,31032
2010,9,19439,436,30470
2010,10,21575,619,33282
2010,11,20271,541,30907
2010,12,18849,490,29194
2011,1,16454,395,25611
2011,2,14208,339,22493
2011,3,16832,338,25371
2011,4,18570,429,28534
2011,5,19414,393,29906
2011,6,18505,415,28469
2011,7,19253,462,29576
2011,8,18896,472,30034
2011,9,19065,474,29055
2011,10,20952,520,32133
2011,11,20283,514,30917
2011,12,19279,478,29292
2012,1,16818,418,26281
2012,2,16656,393,25998
2012,3,18255,403,27899
2012,4,19372,483,29628
2012,5,19672,444,30163
2012,6,18854,476,28314
2012,7,19333,416,29642
2012,8,18407,409,29051
2012,9,19234,486,29462
2012,10,19557,533,29759
2012,11,19750,508,30054
2012,12,17748,423,28314
2013,1,16016,389,25094
2013,2,14187,335,22255
2013,3,17465,409,26461
2013,4,18031,380,27795
2013,5,19686,420,29676
2013,6,18329,436,27673
2013,7,18441,444,28387
2013,8,18691,412,29190
2013,9,17806,430,26938
2013,10,19797,499,29507
2013,11,19396,479,28986
2013,12,17509,459,26749
2014,1,15905,389,24328
2014,2,14061,325,21501
2014,3,18420,358,27714
2014,4,18443,341,27323
2014,5,20314,398,30684
2014,6,18530,367,27740
2014,7,19649,407,29596
2014,8,19603,359,30633
2014,9,19243,445,29052
2014,10,20760,470,31199
2014,11,19872,476,29525
2014,12,18752,427,28202
2015,1,16902,381,25887
2015,2,14939,296,22999
2015,3,18616,378,27921
2015,4,19386,354,29431
2015,5,20543,389,31264
2015,6,18649,390,27469
2015,7,20278,359,30409
2015,8,19864,405,30618
2015,9,20811,387,31256
2015,10,21587,470,32436
2015,11,21170,410,31773
2015,12,19290,402,28937
2016,1,17067,336,26323
2016,2,15664,292,24021
2016,3,17946,310,26609
2016,4,19452,353,29216
2016,5,19554,347,29172
2016,6,17977,321,26668
2016,7,18955,358,28586
2016,8,18398,336,28017
2016,9,17883,375,26761
2016,10,19918,440,29635
2016,11,19234,416,28520
2016,12,18869,408,28192
2017,1,16970,353,26099
2017,2,14832,280,22323
2017,3,17047,295,25046
2017,4,17717,293,26530
2017,5,18502,366,27268
2017,6,18047,315,26454
2017,7,18158,357,27362
2017,8,18682,353,28162
2017,9,19891,419,29371
2017,10,18863,420,28698
2017,11,19377,379,28472
2017,12,18249,355,27044
2018,1,17026,304,25438
2018,2,16208,275,24630
2018,3,17022,310,25015
2018,4,17992,303,26643
2018,5,18636,309,27834
2018,6,18082,266,26574
2018,7,18699,315,28104
2018,8,18335,357,27749
2018,9,18371,348,27751
2018,10,19738,373,28836
2018,11,19029,298,28000
2018,12,18010,323,26463
